Randomly Generated Puzzle
log = ../logs/repair_random_log.txt
solution = ../logs/repair_solution.txt
seed = 16747340304863
wallOnOff = 1
forced_validity = 1
defaultRow = 12
defaultCol = 10
maxRows = 18
maxCols = 18
experiments = 30
evaluations = 10000
exit_on_converge = 1
number_converge_evals = 25
population_size = 100
number_of_children = 200
tournament_size_parent = 5
tournament_size_survival = 10
parent_selection_type = 4
survival_selection_type = 4
penalty_coefficient = 0.1
fitness_type = 3
survival_strategy = 2
mutation_rate = 0.1

Result Log


100	0.27045871559633045	0.6605504587155964
300	0.4433027522935783	0.6605504587155964
500	0.5655045871559636	0.7889908256880734
700	0.6386238532110091	0.7889908256880734
900	0.7333027522935783	0.8532110091743119
1100	0.7816513761467894	0.8623853211009175
1300	0.8174311926605503	0.9174311926605505
1500	0.82045871559633	0.9174311926605505
1700	0.8281651376146791	0.9174311926605505
1900	0.869357798165138	0.9357798165137615
2100	0.8363302752293582	0.9357798165137615
2300	0.8314678899082564	0.944954128440367
2500	0.870183486238532	0.944954128440367
2700	0.8725688073394495	0.944954128440367
2900	0.8408256880733943	0.9541284403669725
3100	0.904862385321101	0.9541284403669725
3300	0.8430275229357795	0.9541284403669725
3500	0.8772477064220183	0.9541284403669725
3700	0.9175229357798167	0.963302752293578
3900	0.8939449541284403	0.9541284403669725
4100	0.8904587155963303	0.9541284403669725
4300	0.8917431192660549	0.9541284403669725
4500	0.898256880733945	0.963302752293578
4700	0.8743119266055045	0.963302752293578
4900	0.8965137614678895	0.963302752293578
5100	0.9030275229357801	0.963302752293578
5300	0.9191743119266056	0.963302752293578
5500	0.9275229357798159	0.963302752293578
5700	0.8949541284403666	0.963302752293578
5900	0.9106422018348621	0.963302752293578
6100	0.8710091743119266	0.963302752293578
6300	0.9253211009174307	0.963302752293578
6500	0.8977064220183483	0.963302752293578
6700	0.902018348623853	0.963302752293578
6900	0.8776146788990831	0.963302752293578
7100	0.849724770642202	0.963302752293578
7300	0.8875229357798169	0.963302752293578
7500	0.8793577981651376	0.963302752293578
7700	0.9091743119266059	0.963302752293578
7900	0.9354128440366972	0.963302752293578
8100	0.902293577981651	0.963302752293578
8300	0.880550458715596	0.963302752293578
8500	0.9019266055045869	0.963302752293578
8700	0.9079816513761471	0.963302752293578

Run 3
100	0.4526881720430107	0.6129032258064516
300	0.5540860215053764	0.6774193548387096
500	0.587634408602151	0.6666666666666666
700	0.6336559139784934	0.7311827956989247
900	0.6668817204301072	0.7634408602150538
1100	0.6822580645161286	0.7634408602150538
1300	0.7207526881720433	0.8064516129032258
1500	0.7429032258064523	0.8064516129032258
1700	0.756666666666667	0.8172043010752689
1900	0.771290322580645	0.8279569892473119
2100	0.7891397849462359	0.8172043010752689
2300	0.7677419354838709	0.8387096774193549
2500	0.7878494623655916	0.8387096774193549
2700	0.7967741935483876	0.8387096774193549
2900	0.782258064516129	0.8602150537634409
3100	0.7803225806451612	0.8602150537634409
3300	0.8187096774193544	0.8602150537634409
3500	0.7903225806451607	0.8602150537634409
3700	0.8134408602150532	0.8602150537634409
3900	0.7911827956989239	0.8817204301075269
4100	0.7653763440860212	0.9032258064516129
4300	0.7701075268817198	0.9032258064516129
4500	0.7998924731182797	0.9247311827956989
4700	0.8563440860215056	0.9247311827956989
4900	0.8083870967741936	0.9247311827956989
5100	0.8115053763440865	0.9247311827956989
5300	0.7807526881720428	0.9247311827956989
5500	0.8318279569892468	0.9247311827956989
5700	0.8172043010752684	0.9247311827956989
5900	0.797956989247311	0.9247311827956989
6100	0.8355913978494618	0.9247311827956989
6300	0.8407526881720425	0.9247311827956989
6500	0.8006451612903216	0.9354838709677419
6700	0.791935483870967	0.9354838709677419
6900	0.849892473118279	0.9354838709677419
7100	0.8330107526881712	0.9354838709677419
7300	0.8121505376344088	0.9354838709677419
7500	0.8290322580645159	0.9354838709677419
7700	0.8438709677419357	0.9354838709677419
7900	0.8161290322580647	0.9354838709677419
8100	0.824408602150538	0.9354838709677419
8300	0.8134408602150534	0.9354838709677419
8500	0.8160215053763443	0.946236559139785
8700	0.8256989247311829	0.9354838709677419
8900	0.8404301075268821	0.9354838709677419
9100	0.7909677419354838	0.9354838709677419
9300	0.8486021505376344	0.9354838709677419
9500	0.8223655913978497	0.9354838709677419
9700	0.8416129032258068	0.9354838709677419
9900	0.8802150537634408	0.9354838709677419

Run 4
100	0.32115384615384635	0.5576923076923077
300	0.45038461538461527	0.6153846153846154
500	0.5251923076923078	0.6538461538461539
700	0.5586538461538462	0.6538461538461539
900	0.586346153846154	0.6730769230769231
1100	0.603653846153846	0.6923076923076923
1300	0.5896153846153845	0.6923076923076923
1500	0.6090384615384614	0.6923076923076923
1700	0.6309615384615384	0.6923076923076923
1900	0.6298076923076922	0.6923076923076923
2100	0.6607692307692303	0.6923076923076923
2300	0.6373076923076922	0.7115384615384616
2500	0.6138461538461539	0.7115384615384616
2700	0.6496153846153849	0.7115384615384616
2900	0.6386538461538465	0.7115384615384616
3100	0.6050000000000001	0.7115384615384616
3300	0.6598076923076927	0.7115384615384616
3500	0.6384615384615386	0.7307692307692307
3700	0.6255769230769229	0.7307692307692307
3900	0.6444230769230763	0.7692307692307693
4100	0.6138461538461537	0.7692307692307693
4300	0.6292307692307696	0.8076923076923077
